,symbol,open_time,open,high,low,close,volume,turnover
0,BTCUSD,2018/12/27 19:05,3698,3698,3640,3640,478130,130.450602
1,BTCUSD,2018/12/27 19:06,3640,3642.5,3601.5,3607,388444,107.4629115
2,BTCUSD,2018/12/27 19:07,3607,3607,3593,3593,301020,83.55825002
3,BTCUSD,2018/12/27 19:08,3593,3623,3593,3618.5,567843,157.0603544
4,BTCUSD,2018/12/27 19:09,3618.5,3618.5,3611,3618,31665,8.75946465
5,BTCUSD,2018/12/27 19:10,3618,3618,3605.5,3611,124010,34.33029016
6,BTCUSD,2018/12/27 19:11,3611,3611,3611,3611,0,0
7,BTCUSD,2018/12/27 19:12,3611,3611,3606.5,3607,2716,0.75285356
8,BTCUSD,2018/12/27 19:13,3607,3614.5,3607,3608.5,1292,0.35795936
9,BTCUSD,2018/12/27 19:14,3608.5,3608.5,3595,3596.5,1949,0.54194963
10,BTCUSD,2018/12/27 19:15,3596.5,3603.5,3594,3594,1933,0.53713301
11,BTCUSD,2018/12/27 19:16,3594,3596.5,3591.5,3594,2471,0.68744871
12,BTCUSD,2018/12/27 19:17,3594,3597,3594,3597,250,0.06950236
13,BTCUSD,2018/12/27 19:18,3597,3597,3592,3592,2983,0.83014051
14,BTCUSD,2018/12/27 19:19,3592,3608,3592,3607.5,35377,9.80562988
15,BTCUSD,2018/12/27 19:20,3607.5,3607.5,3605,3605,20,0.00554785
16,BTCUSD,2018/12/27 19:21,3605,3605,3604,3604,8,0.00221975
17,BTCUSD,2018/12/27 19:22,3604,3606,3600.5,3600.5,4685,1.29924201
18,BTCUSD,2018/12/27 19:23,3600.5,3603,3595.5,3603,2538,0.70447411
19,BTCUSD,2018/12/27 19:24,3603,3609,3603,3609,2551,0.70780502
20,BTCUSD,2018/12/27 19:25,3609,3609,3603.5,3603.5,74,0.02053531
21,BTCUSD,2018/12/27 19:26,3603.5,3611.5,3603.5,3606.5,1576,0.43659234
22,BTCUSD,2018/12/27 19:27,3606.5,3607,3606,3606,5098,1.41374731
23,BTCUSD,2018/12/27 19:28,3606,3607,3606,3607,45,0.01247574
24,BTCUSD,2018/12/27 19:29,3607,3607,3600.5,3600.5,3661,1.01647822
25,BTCUSD,2018/12/27 19:30,3600.5,3600.5,3597,3597,1872,0.52029831
26,BTCUSD,2018/12/27 19:31,3597,3597,3580.5,3584.5,2821,0.78715867
27,BTCUSD,2018/12/27 19:32,3584.5,3588,3584.5,3588,5100,1.42148625
28,BTCUSD,2018/12/27 19:33,3588,3592,3588,3590,233,0.06487534
29,BTCUSD,2018/12/27 19:34,3590,3590,3587.5,3587.5,68,0.0189547
30,BTCUSD,2018/12/27 19:35,3587.5,3588.5,3587.5,3588.5,295,0.08221841
31,BTCUSD,2018/12/27 19:36,3588.5,3593,3588.5,3593,200,0.05566378
32,BTCUSD,2018/12/27 19:37,3593,3593,3592,3592.5,814,0.2265837
33,BTCUSD,2018/12/27 19:38,3592.5,3601.5,3592.5,3601.5,462,0.12832164
34,BTCUSD,2018/12/27 19:39,3601.5,3601.5,3597,3601.5,3505,0.97322296
35,BTCUSD,2018/12/27 19:40,3601.5,3601.5,3601.5,3601.5,0,0
36,BTCUSD,2018/12/27 19:41,3601.5,3601.5,3600,3600,139,0.0386111
37,BTCUSD,2018/12/27 19:42,3600,3606.5,3600,3603.5,122,0.03384004
38,BTCUSD,2018/12/27 19:43,3603.5,3609.5,3603.5,3607.5,194,0.05375444
39,BTCUSD,2018/12/27 19:44,3607.5,3607.5,3607.5,3607.5,0,0
40,BTCUSD,2018/12/27 19:45,3607.5,3607.5,3604.5,3604.5,32,0.00887779
41,BTCUSD,2018/12/27 19:46,3604.5,3605,3604.5,3605,5000,1.38696255
42,BTCUSD,2018/12/27 19:47,3605,3606.5,3605,3606.5,60,0.01663662
43,BTCUSD,2018/12/27 19:48,3606.5,3606.5,3604,3606,2164,0.60014938
44,BTCUSD,2018/12/27 19:49,3606,3608.5,3606,3608.5,260,0.0720567
45,BTCUSD,2018/12/27 19:50,3608.5,3608.5,3608.5,3608.5,0,0
46,BTCUSD,2018/12/27 19:51,3608.5,3608.5,3603.5,3603.5,76,0.0210906
47,BTCUSD,2018/12/27 19:52,3603.5,3603.5,3600.5,3601,317,0.08802422
48,BTCUSD,2018/12/27 19:53,3601,3601.5,3601,3601.5,3,0.00083298
49,BTCUSD,2018/12/27 19:54,3601.5,3601.5,3601,3601,292,0.08108683
50,BTCUSD,2018/12/27 19:55,3601,3601.5,3601,3601.5,6075,1.68691956
51,BTCUSD,2018/12/27 19:56,3601.5,3601.5,3596,3596,752,0.2088872
52,BTCUSD,2018/12/27 19:57,3596,3598.5,3596,3598.5,500,0.13894678
53,BTCUSD,2018/12/27 19:58,3598.5,3598.5,3597.5,3597.5,45,0.01250868
54,BTCUSD,2018/12/27 19:59,3597.5,3600.5,3597,3600.5,174,0.04835497
55,BTCUSD,2018/12/27 20:00,3600.5,3600.5,3598.5,3598.5,27,0.00750211
56,BTCUSD,2018/12/27 20:01,3598.5,3601.5,3598,3601.5,73,0.0202839
57,BTCUSD,2018/12/27 20:02,3601.5,3605.5,3601.5,3605.5,93,0.02580064
58,BTCUSD,2018/12/27 20:03,3605.5,3605.5,3600.5,3600.5,50,0.01388696
59,BTCUSD,2018/12/27 20:04,3600.5,3602,3600,3602,113,0.03137159
60,BTCUSD,2018/12/27 20:05,3602,3602,3601,3601,100,0.02777005
61,BTCUSD,2018/12/27 20:06,3601,3601,3601,3601,0,0
62,BTCUSD,2018/12/27 20:07,3601,3601,3595.5,3597.5,4036,1.12210705
63,BTCUSD,2018/12/27 20:08,3597.5,3598.5,3597,3598.5,105,0.02918241
64,BTCUSD,2018/12/27 20:09,3598.5,3598.5,3593,3593,936,0.26049725
65,BTCUSD,2018/12/27 20:10,3593,3593,3581.5,3581.5,284,0.07914738
66,BTCUSD,2018/12/27 20:11,3581.5,3582.5,3570.5,3582.5,473,0.13229856
67,BTCUSD,2018/12/27 20:12,3582.5,3583,3582,3582,694,0.19374298
68,BTCUSD,2018/12/27 20:13,3582,3582,3580,3580,618,0.17262092
69,BTCUSD,2018/12/27 20:14,3580,3588.5,3580,3588,422,0.11764107
70,BTCUSD,2018/12/27 20:15,3588,3594.5,3588,3592.5,6796,1.89193817
71,BTCUSD,2018/12/27 20:16,3592.5,3598.5,3592.5,3598.5,117,0.03253843
72,BTCUSD,2018/12/27 20:17,3598.5,3598.5,3595,3596.5,4978,1.38414701
73,BTCUSD,2018/12/27 20:18,3596.5,3596.5,3592.5,3592.5,1094,0.30440356
74,BTCUSD,2018/12/27 20:19,3592.5,3596,3592.5,3596,8,0.00222529
75,BTCUSD,2018/12/27 20:20,3596,3596,3593.5,3594,4006,1.11463556
76,BTCUSD,2018/12/27 20:21,3594,3594.5,3594,3594,1701,0.47327427
77,BTCUSD,2018/12/27 20:22,3594,3595,3594,3594.5,475,0.13212957
78,BTCUSD,2018/12/27 20:23,3594.5,3594.5,3592,3592,1089,0.30315449
79,BTCUSD,2018/12/27 20:24,3592,3592.5,3589,3589,269,0.07489152
80,BTCUSD,2018/12/27 20:25,3589,3589,3587.5,3587.5,58,0.01616724
81,BTCUSD,2018/12/27 20:26,3587.5,3587.5,3584,3586,2025,0.56471586
82,BTCUSD,2018/12/27 20:27,3586,3586,3586,3586,0,0
83,BTCUSD,2018/12/27 20:28,3586,3587.5,3586,3587.5,626,0.17449477
84,BTCUSD,2018/12/27 20:29,3587.5,3589.5,3587.5,3589.5,37,0.01030784
85,BTCUSD,2018/12/27 20:30,3589.5,3589.5,3588.5,3589,2546,0.70939158
86,BTCUSD,2018/12/27 20:31,3589,3591,3589,3591,73,0.02032859
87,BTCUSD,2018/12/27 20:32,3591,3593.5,3591,3593.5,1500,0.41742034
88,BTCUSD,2018/12/27 20:33,3593.5,3593.5,3593,3593,1300,0.36181463
89,BTCUSD,2018/12/27 20:34,3593,3593,3593,3593,0,0
90,BTCUSD,2018/12/27 20:35,3593,3593,3592.5,3592.5,595,0.16562282
91,BTCUSD,2018/12/27 20:36,3592.5,3595,3591,3595,375,0.1043821
92,BTCUSD,2018/12/27 20:37,3595,3596,3595,3596,34,0.00945494
93,BTCUSD,2018/12/27 20:38,3596,3596,3596,3596,0,0
94,BTCUSD,2018/12/27 20:39,3596,3596,3596,3596,0,0
95,BTCUSD,2018/12/27 20:40,3596,3596,3591,3591,78,0.02172096
96,BTCUSD,2018/12/27 20:41,3591,3591,3591,3591,375,0.10442773
97,BTCUSD,2018/12/27 20:42,3591,3591,3588,3589,418,0.11645909
98,BTCUSD,2018/12/27 20:43,3589,3589,3587,3587,1866,0.52013978
99,BTCUSD,2018/12/27 20:44,3587,3587,3585.5,3585.5,279,0.07780655
100,BTCUSD,2018/12/27 20:45,3585.5,3585.5,3574.5,3574.5,938,0.26219076
101,BTCUSD,2018/12/27 20:46,3574.5,3574.5,3565,3565,4416,1.23683824
